Course Title,Description,All Chapter Titles,All Lessons
The Working of Neural Networks - Free Course,"This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.",Understanding the working of Neural Networks,"How are Neural Networks trained - Forward Propagation, Understanding Loss Functions + Hands on, Reading: Creating a Custom Loss Function (Optional), Optimization Techniques - Gradient Descent, What is Back Propagation?, Types of Gradient Descent, Common Optimization Techniques - Part 1, Common Optimization Techniques - Part 2, Building a Deep Neural Network (Hands-on Regression Model), Building a Deep Neural Network (Hands-on Classification Model), Quiz"
The A to Z of Unsupervised ML - Free Course,"Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.",Understanding Unsupervised Machine Learning,"Resources to be used in this course., Setting the Context, Choosing Clustering Algorithms, Solving our Problem using k-means - Part 1, Solving our Problem using k-means - Part 2, Finding optimal K value, Analysis and Insights Based on the Plots, Introduction to Hierarchical Clustering Analysis (HCA), Solving our Problem using Hierarchical Clustering, Introduction to DBSCAN Clustering, Solving our Problem using DBSCAN, Reading: Applications of Clustering in the Real World, Project"
Building Your first RAG System using LlamaIndex - Free Course,"This course will guide youthrough building your first Retrieval-Augmented Generation (RAG) systemusing LlamaIndex.You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively.","Introduction to RAG systems, Getting Started with LlamaIndex","Welcome to this course, Why RAG, What is RAG system, Overview of RAG Framework, Quiz, Course handouts, Introduction to LlamaIndex, Components of LlamaIndex, Reading Material: How to get your API Key, How to get Open AI Keys - 2 min - Website go through, Build Your First RAG system using LlamaIndex, Quiz"
Data Preprocessing on a Real-World Problem Statement - Free Course,"This course will help you get a practical understanding of Data Preprocessing. After this course, you can work on any data and prepare it for modelling. With a carefully curated list of resources, this course is your first step to becoming a Data Scientist. By the end of the course, you will have mastered techniques like EDA and Missing Value Treatment.",Preparing the Dataset for Machine Learning Model,"Resources to be used in this course, Introduction to Problem Statement, Reading Material - Understanding the Data, ML-workflow, Tasks to be Performed, Combining Product Attribute Data with POS Data, Combining all the tables in the Dataframe, Understanding the Combined Data, Treating Missing Values - Part 1, Treating Missing Values Part - 2, Outlier Detection and Treatment, Preparing the Dataset for Supervised and Unsupervised Models, Generative AI for Data Analysis"
Exploring Stability.AI - Free Course,"This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.",Mastering stability.ai and its tools,"Introduction to Stability, How to use Stability.AI tools, Review of Deployment Options for SD WebUI, Automatic1111 WebUI on RunPod GPU environment, SD WebUI Hands-On - Installation and Setup, SD WebUI Hands-On - Generation and Settings, Quiz"
Building a Text Classification Model with Natural Language Processing - Free Course,"Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.","Introduction to NLP, Building a basic classification model","What is NLP, Common tasks in a NLP Project, NLP Libraries, Resources for the Course, Methods of Text Preprocessing - Part 1, Methods of Text Preprocessing - Part 2, Methods of Text Preprocessing - Part 3, Quiz, Introduction to dataset and problem statement, Creating a Basic Review Classification Model, Understanding TF-IDF and its implementations, Understanding N-grams, Advanced Preprocessing Techniques, Building an basic ANN model, Limitations of ANN, Quiz"
Getting Started with Large Language Models,"This course will help you gain a comprehensive understanding of Large Language Models (LLMs) and develop advanced natural language processing (NLP) applications using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming an expert in LLMs. Master the techniques to build and fine-tune LLMs, and generate human-like text.","Introduction, The Evolution of NLP, What are Large Language Models?, The Current State of the Art in LLMs, Generative AI - Glossary, Your Feedback Matters!","Course Objective, Course Handouts, The Exponential Growth, The Evolution of NLP: Symbolic NLP, The Evolution of NLP: Statistical NLP, The Evolution of NLP: Deep Learning, The Evolution of NLP: Deep Learning Era II, The Evolution of NLP: Tranformers and Evolution, Quiz, Introduction to Large Language Model, What is a Large Language Model?, Understanding Foundational Models, Different types of LLMs: Based on Response, Different types of LLMs: Based on Model Architecture, Quiz, The Current State of the Art in LLMs, Generative AI- Glossary, Your Feedback Matters!"
Introduction to Generative  AI,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content. You'll learn how generative AI works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects.",Introduction to Generative AI,"What is Generative AI, How does Gen AI work, Quiz, Text Generation with Gen AI, Image Generation with Gen AI, Quiz, Meet your Instructors, Course Handout, Your Feedback Matters!"
Nano Course: Dreambooth-Stable Diffusion for Custom Images,Have you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside Elon Musk or playing cricket with MSD?,Dreambooth-Stable Diffusion for Custom Images,"The Current Landscape of Generative AI, Why Stable Diffusion, Recap on History of Stable Diffusion, Intuition behind Stable Diffusion, How to train a Stable Diffusion model, Introduction to Dreambooth, Understanding the Dreambooth Process, Tricks to Name Your Concept Uniquely, How to Select Images for Finetuning Dreambooth, Setting up the Training Environment, Code-Finetuning Dreambooth model on Custom Dataset, The Importance of Captioning in Dreambooth, Differences between Stable Diffusion and Dreambooth"
A Comprehensive Learning Path for Deep Learning in 2023,The most common question we get from beginners in the field of Deep Learning is - Where to begin? The journey to becoming a Deep Learning expert can be difficult if one does not have the right resources to follow. There are a million resources to refer and it is tough to decide where to start from.,"January 2023, February 2023, March 2023, April 2023, May 2023, June 2023, July 2023, August 2023, September 2023, October 2023, November 2023, December 2023","Getting Started, Overview of the Learning Path, Month-on-Month Plan, Introduction to Deep Learning, Applications of Deep Learning, Setting up your System, Descriptive Statistics and Probability, Python, Exercise : Python, AI&ML Blackbelt Plus Program (Sponsored), Start engaging in data science / deep learning communities, Inferential Statistics, Exercise : Statistics, Partial Derivative, Linear Algebra - Part 1, Linear Regression, Logistic Regression, Exercise : Linear and Logistic Regression, Regularization Techniques (Ridge and Lasso), Project, Start building your GitHub profile, Start building your GitHub profile, Linear Algebra - Part 2, Getting Started with Neural Networks, Understanding Forward Propagation, Understanding Back Propagation, Exercise : Understanding Neural Networks, Build your first Neural Network in Numpy, Frameworks for Deep Learning, Introduction to Keras, Build your first Neural Network in Keras, Project, Start Participating in Competitions, Handling / Pre-processing Images, Exercise, Hyperparameter Tuning, Regularization Techniques, Optimization Algorithms, Exercise, Project, Understanding Convolutional Neural Networks (CNNs), Exercise : CNNs, Hyperparameter Tuning, Transfer Learning, Data Augmentation, Project, Build your resume and apply for Internships, Visualizing Convolutional Neural Networks, Project 3 on CV, Project 4 on CV, Start writing articles, Handling / Pre-processing Text Data, Exercise, Recurrent Neural Networks (RNNs), RNNs - Video, LSTM, GRUs, Transfer Learning for NLP, Project 1 on NLP, Word Embeddings, Exercise, Project 2 on NLP, Attention Models, Attention Models - Text, Project on Attention Models, Unsupervised Deep Learning, Project on Unsupervised Deep Learning, GANs : Video, GANs, Project on GANs, Apply for Jobs and Internships, Way Forward"
A Comprehensive Learning Path to Become a Data Scientist in 2024,Where do I begin? Data science is such a huge field - where do you even start learning about Data Science?,"Overview of the Learning Path 2024, January 2024: Data Science Toolkit, February 2024: Data Visualization, March 2024: Data Exploration, April 2024: Basics of Machine Learning and art of storytelling, May 2024: Advanced Machine Learning, June 2024: Other Machine Learning Concepts, July 2024: Introduction to Deep Learning and Computer Vision, August 2024: Basics of Natural Language Processing, September 2024: Model Deployment, October 2024: Practice and Projects","Overview of Learning Path, Month-on-Month Plan, Your Personalized Learning Path for Data Science, AI&ML Blackbelt Plus Program (Sponsored), Plan for January 2024, Understanding Machine Learning and its impact, Job of Data Scientist, Exercise, Overview of the Course, A brief introduction to Python, Introduction to Python Test, Installing Python, Theory of Operators, Exercise, Understanding Operators in Python, Operators Test, Understanding variables and data types, Variable Test, Variables and Data Types in Python, Understanding Conditional Statements, Exercise, Implementing Conditional Statements in Python, Conditional Statements test, Understanding Looping Constructs, Exercise, Implementing Looping Constructs in Python, Looping Constructs test, Understanding Functions, Implementing Functions in Python, Functions test, A brief introduction to data structure, Data Structure test, Understanding the concept of Lists, Lists test, Implementing Lists in Python, Exercise, Understanding the concept of Dictionaries, Exercise, Implementing Dictionaries in Python, Dictionaries test, Understanding the concept of Standard Libraries, Libraries test, Reading a CSV File in Python - Introduction to Pandas, Reading a CSV file in Python: Implementation, Reading a csv file in Python test, Understanding dataframes and basic operations, DataFrames and basic operations test, Reading dataframes and conduct basic operations in Python, Reading dataframes and conduct basic operations in Python Test, Indexing a Dataframe, Indexing DataFrames test, Exercise, Sorting Dataframes, Merging Dataframes, Quiz: Sorting and Merging dataframes, Apply function, Aggregating data, Quiz: Apply function and Aggregating data, Basics of Matplotlib, Data Visualization using Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization using Seaborn, Quiz: Seaborn, Regular Expressions, Understanding Regular Expressions, Quiz: Regular Expressions, Regular Expressions in  Python, Quiz: Regular Expressions in Python, Cheatsheet for Python, Instructions, Quiz, Python Coding Challenge, The Power of VisualizationFREE PREVIEW, What is Data Visualization and Why Should we Use itFREE PREVIEW, Exercise - Definition of Data Visualization, Hans Rosling - 200 Countries 200 Years 4 MinutesFREE PREVIEW, 4 Key Elements of Effective Data VisualizationsFREE PREVIEW, Why Tableau is a Powerful Tool for Professionals, What We Will Cover in this CourseFREE PREVIEW, Compare Tableau Against Power BI and Qlik, The Tableau Range of Products, The 5 Tableau Products you should Know, Installing Tableau Desktop on your System, Installing Tableau Public on your System, Difference Between Tableau Server and Tableau Online, Navigating the Tableau Interface (Part 1), Navigating the Tableau Interface (Part 2), Connecting to Data Sources in Tableau, Understanding the Problem Statement, Download the Superstore Dataset, Loading the Dataset and Getting Familiar with the Variables, Build your First Visualization in Tableau!, Hands-On with Labels and Formatting, Playing Around with Colors, Using Filters to Build a Pivot Structure in Tableau, Exporting your Tableau Worksheet, The Different Chart Types in Tableau, Line Charts - Working with Time Series Data, Building Line Charts in Tableau, Exercise - Sales of Each Category Month-by-Month, Generating Map Visualizations for Geospatial Analysis, Map Visualizations in Tableau, Exercise - Sales by City Analysis, Bar Charts, Histograms, Scatter Plots, Bubble Charts, Pie Charts, Dual Axis Charts in Tableau, Date Dual Axis Charts in Tableau, What are Calculated Fields?, Feature Engineering in Tableau - Average Shipping Time, Exercise - Number of Orders per State, Calculating the Average Order Value, Average Order Value for Product Sub-Categories, What are Parameters in Tableau?, Using Parameters to find Top N Customers, Using Parameters to Analyze Superstore's Variable Values, Joins and their Different Types in Tableau, Performing Data Joining in Tableau, What is Blending? How is it Different from Joins?, Blending Data in Tableau, Download the Coffee Chain Dataset, Introduction to Dashboards and their Use Cases, Reading Material - Dashboards in Tableau, Designing your First Dashboard in Tableau, Using Parameters to Create Dynamic Dashboards, How to Upload your Work to the Tableau Public Gallery, Designing the Blueprint for a Multi-Dashboard View to Analyze Sales, Building Multiple Interlinked Dashboards in Tableau for our Business, The Art of Storytelling, 3-Step Storytelling Framework, Sketching the Story Blueprint, Profits by Region Analysis using Storyboard in Tableau, Capstone Project: Sales and Profit by Segment using Storyboards in Tableau, Getting started with SQL, IntroductionFREE PREVIEW, Why do we need databases?FREE PREVIEW, What is a database?FREE PREVIEW, Some properties of a Good DatabaseFREE PREVIEW, Types of Databases, How data is Stored in Relational Databases, How data is stored in NoSQL databases, Companies using MySQLFREE PREVIEW, Exercise 1, Introduction, Architecture: Client and Server, MySQL Distributions, Local Installation on Mac, Local Installation on Linux, Local Installation on Windows, Licensing, Accessing a remote MySQL server, Graphical user interfaces, Exercise 2, SQL - Installation Guide, Introduction, What exactly is SQL?, History of SQL, Connecting to MySQL, Types of Commands - DDL (Creation/ Deletion/ Updating of Schema, Types of Commands - DML (Manipulating data in tables), Types of Commands - DCL (Managing Access control), Exploring databases, Creating tables, Inserting data in tables, SELECT Statement - Introduction, Datatypes in MySQL, NULL vs NOT NULL, Exercise 3, Introduction, Update command – Concept, Update command – Example, Delete command – Concept, Delete command – Example, Describe command – Concept, Describe command – Example, Alter command – Concept and Example, Exercise 4, Introduction, Importing data from CSV to MySQL, Exporting data from MySQL to CSV, Backing up databases, Restoring databases, Exercise 5, Importing and Exporting Datasets - Troubleshooting Guide, Introduction, Counting Rows and Items, Aggregation Functions – SUM, AVG, STDDEV, Extreme Values Identification – MIN, MAX, Slicing data, Limiting data, Sorting data, Filtering Patterns, Groupings, Rolling up data and Filtering in Groups, Exercise 6, Introduction, Data Eyeballing, Data Dictionary, Questions we need answers of, Analyzing data and creating table structure, Loading data to our MySQL table, Data Analysis – Simple Queries, Data Analysis – Advanced Queries, FIFA19 Players dataset (cleaned) for this Project, Introduction, The need for joins, Different type of joins, The Left Join - Concept, The Left Join – Practical Example, The Inner Join, The Cross Join, The Right Join, The Self Join, Exercise, Introduction, Introduction to Indexing, How indexing works (basics), Relationships, Types of Relationships, Table Constraints – PRIMARY KEY, FOREIGN KEY, UNIQUENESS and AUTO INCREMENT, Exercise, String functions - CONCAT, String functions – Case Conversion, String functions – Trimming Strings, String functions – Extracting Substrings, Date/ Time functions – Current date and time, Date/ Time functions – Extracting date and time from field, Date/ Time functions – Formatting date and time as Strings, Numeric functions, SQL CheatSheet, Exercise, Introduction, Setting up a virtual environment, Installing the required packages, Connecting to MySQL, Connecting to database table and pulling data, Querying the database- INSERT, Querying the database- DELETE, Querying the database- SEARCH, Querying the database- INDEXING, Notes and Resources, Subscribe to Data Science Newsletter and Podcast, Overview of Statistics, Important applications of Statistics, What is Descriptive Statistics?, Introduction to Design experiments, Introduction to Design experiments-Video, Exercise, Visualizing Data, Visualizing Data, Central tendency, Exercise, Variability, Unimodal Distribution of Data, Bimodal Distribution of Data, Normal distribution – Part 1, Normal distribution – Part 2, Z-Score, Introduction to Probability- An Overview, Principal Of Counting, Exercise, Permutation, Exercise, Combination, Exercise, Conditional Probability – Part 1, Conditional Probability – Part 2, Exercise, Binomial Distribution, Random variable, Expectation and variance, Exercise, Cheatsheet for Probability, Statistics: Inferential-Hypothesis Testing, T-test, One Way ANOVA, Chi-square, Cheatsheet on Statistics, Exploratory Data Analysis (EDA)- Data Exploration, Cheatsheet on EDA, Project-1 | Loan Prediction, Project-2 | Big Mart Sales, Linear Algebra, Free Course, Overview of Machine Learning, Understanding Data Science Pipeline, Get Familiarised with Command Line (Linux)- Guide, Linear Regression, Linear Regression-Video, Exercise, Logistic Regression- Part 1, Logistic Regression – Part 2, Exercise, Decision Tree Algorithm, Exercise, Naive Bayes, Support Vector Machine, Regression Project - Big Mart Sales, Classification Project - Loan Prediction, Introduction to Structured Thinking, Commonly Asked Puzzles in Interviews, How to solve Guesstimates?, Excercise: Strategic Thinking, Structured Thinking and Communication Course, Ensemble Learning Basics, Ensemble Learning Basics-Video, Bagging, Boosting, Random Forest - Simplified, Random Forest - Detailed with implementation, Exercise, Boosting - Detailed with implementation, XGBoost, LightGBM, CatBoost, Exercise, Advanced Ensemble Technique - Blending, Advanced Ensemble Learning - Stacking, Cheatsheet for Machine Learning, Image data, Text data, Audio data, Audio data-Video, Projects, Participating in Competitions, Introduction to validation, Different Types of Validation Techniques, K-fold Cross Validation - Implementation, Summary - Validation Techniques, Exercise, Different methods for finding best hyperparameters of an algorithm, Hyperparameter tuning for Random Forest, Hyperparameter tuning for GBM, Hyperparameter tuning for XGBoost, Hyperparameter tuning for LightGBM, Bayesian Hyperparameter Optimization, Feature Engineering, Profile Building, Building your Resume, Up Level your Data Science Resume Course, Ace Data Science Interview Course, Basics of Matrix Algebra, Matrix Calculus, Dimensionality Reduction - Overview, Principal Component Analysis (PCA), Singular Value Decomposition (SVD), Singular Value Decomposition (SVD)-Text, Unsupervised Learning-K Means and Hierarchical Clustering, Clustering - Project, Learn Github, Introduction to Recommendation Systems, Introduction to Recommendation Systems - Video, Project: Recommendation System, Implementation in Python, Introduction to Time Series Forecasting, Handling a Non-Stationary Time Series in Python, Time Series Modeling using ARIMA, Time Series Modeling using Prophet Library, Time Series Project, Project - Black Friday, Setting up the System for Deep Learning, Introduction to Deep Learning, Build your first Neural Network in Numpy, Why are GPUs necessary for Deep Learning?, The Evolution and Core Concepts of Deep Learning & Neural Networks, An Introduction to Implementing Neural Networks using TensorFlow, Introduction to Keras, Optimizing Neural Networks using Keras (with Image recognition case study), Understanding Convolutional Neural Networks (CNNs), Build Image Classification Model using Keras, Exercise, Transfer Learning for Computer Vision, Computer Vision Project 1 : Identify the Apparels, Computer Vision Project 2: Scene Classification, Computer Vision using Deep Learning Course, Computer Vision Course (Sponsored), Cheatsheet for Keras, Write for Analytics Vidhya's Medium Publication, Recurrent Neural Network, Long short Term Memory Networks (LSTM), Gated Recurrent Unit (GRU), Useful resources-GRU, Text Preprocessing, Text Cleaning, Text Classification, Natural Language Processing (NLP) Using Python Course, How to Deploy Machine Learning Models using Flask, Tutorial to deploy Machine Learning models in Production as APIs, Deploying machine learning models using Streamlit – An introductory guide to Model Deployment, An Ode to Model Deployment using Streamlit – Open Sourcing “Typing Tutor for Programmers”, Building a Portfolio with Projects"
Nano Course: Building Large Language Models for Code,"In this Free Nano GenAI Course onBuilding Large Language Models for Code, you will-",Building Large Language Models for Code,"Introduction, Agenda, BigCode Community, Training LLMs for Code from Scratch: Training Data Curation, Training Data Formatting and Preprocessing, Model Architecture, BigCode Ecosystem, Training Frameworks, Model Evaluation, Tools and Descendants of StarCoder"
